block_no,range_start,range_end,slug,title,category,priority,status,version,depends_on,optional_depends_on,requires_slugs,optional_requires_slugs,provides,requires_capabilities,optional_requires_capabilities,conflicts,zip_filename,main_doc,zip_pack,notes,spec_md,seed_files,last_updated
1.0,32001,32400,knowledge_registry,Knowledge Registry,Knowledge & RAG,P1,DONE,0.20.1,,,,,block:knowledge_registry,,,,IFOS_32001_32400_knowledge_registry_os_pack.zip,IFOS_knowledge_registry_os_32001_32400_v1.md,IFOS_32001_32400_knowledge_registry_os_pack.zip,,,,
2.0,32401,32800,marketplace_billing,Marketplace Billing,Marketplace & Monetization,P1,DONE,0.24.1,enterprise_identity_access;security_trust;pricing_quotas_resource_economy;payments_settlement;data_privacy_compliance,,data_privacy_compliance;enterprise_identity_access;payments_settlement;pricing_quotas_resource_economy;security_trust,,block:marketplace_billing;cap:marketplace;cap:monetization,cap:compliance;cap:data;cap:enterprise;cap:governance;cap:identity;cap:marketplace;cap:monetization;cap:security,,,IFOS_32401_32800_marketplace_billing_os_pack.zip,IFOS_marketplace_billing_os_32401_32800_v1.md,IFOS_32401_32800_marketplace_billing_os_pack.zip,,,,
3.0,32801,33200,runtime_execution,Runtime Execution,Runtime & Automation,P0,DONE,0.28.1,,,,,block:runtime_execution;cap:runtime,,,,IFOS_32801_33200_runtime_execution_os_pack.zip,IFOS_runtime_execution_os_32801_33200_v1.md,IFOS_32801_33200_runtime_execution_os_pack.zip,,,,
4.0,33201,33600,data_quality_dedup,Data Quality Dedup,Data & Integration,P0,DONE,0.32.1,,,,,block:data_quality_dedup;cap:data,,,,IFOS_33201_33600_data_quality_dedup_os_pack.zip,IFOS_data_quality_dedup_os_33201_33600_v1.md,IFOS_33201_33600_data_quality_dedup_os_pack.zip,,,,
5.0,33601,34000,search_ranking_vitrines,Search Ranking Vitrines,Search; Ranking & Vitrines,P1,DONE,0.36.1,content_import_normalization;data_quality_dedup;searchable_knowledge_vault;observability_reliability,,content_import_normalization;data_quality_dedup;observability_reliability;searchable_knowledge_vault,,block:search_ranking_vitrines;cap:search;cap:vitrines,cap:compliance;cap:data;cap:knowledge;cap:observability;cap:reliability;cap:search;cap:security,,,IFOS_33601_34000_search_ranking_vitrines_os_pack.zip,IFOS_search_ranking_vitrines_os_33601_34000_v1.md,IFOS_33601_34000_search_ranking_vitrines_os_pack.zip,,,,
6.0,34001,34400,enterprise_governance,Enterprise Governance,Enterprise & Governance,P0,DONE,0.40.1,,,,,block:enterprise_governance;cap:enterprise;cap:governance;cap:identity,,,,IFOS_34001_34400_enterprise_governance_os_pack.zip,IFOS_enterprise_governance_os_34001_34400_v1.md,IFOS_34001_34400_enterprise_governance_os_pack.zip,,,,
7.0,34401,34800,security_trust,Security Trust,Security & Compliance,P0,DONE,0.44.1,,,,,block:security_trust;cap:compliance;cap:security,,,,IFOS_34401_34800_security_trust_os_pack.zip,IFOS_security_trust_os_34401_34800_v1.md,IFOS_34401_34800_security_trust_os_pack.zip,,,,
8.0,34801,35200,observability_reliability,Observability Reliability,Observability & Reliability,P0,DONE,0.48.1,,,,,block:observability_reliability;cap:observability;cap:reliability,,,,IFOS_34801_35200_observability_reliability_os_pack.zip,IFOS_observability_reliability_os_34801_35200_v1.md,IFOS_34801_35200_observability_reliability_os_pack.zip,,,,
9.0,35201,35600,knowledge_graph_semantic,Knowledge Graph Semantic,Knowledge & RAG,P1,DONE,0.52.1,content_import_normalization;data_contracts_schema_registry;data_integration_etl_elt;search_ranking_vitrines;security_trust,,content_import_normalization;data_contracts_schema_registry;data_integration_etl_elt;search_ranking_vitrines;security_trust,,block:knowledge_graph_semantic;cap:knowledge,cap:compliance;cap:data;cap:search;cap:security;cap:vitrines,,,IFOS_35201_35600_knowledge_graph_semantic_os_pack.zip,IFOS_knowledge_graph_semantic_os_35201_35600_v1.md,IFOS_35201_35600_knowledge_graph_semantic_os_pack.zip,,,,
10.0,36001,36400,enterprise_identity_access,Enterprise Identity Access,Security & Compliance,P0,DONE,0.60.1,,,,,block:enterprise_identity_access;cap:compliance;cap:enterprise;cap:governance;cap:identity;cap:security,,,,IFOS_36001_36400_enterprise_identity_access_os_pack.zip,IFOS_enterprise_identity_access_os_36001_36400_v1.md,IFOS_36001_36400_enterprise_identity_access_os_pack.zip,,,,
11.0,36801,37200,data_integration_etl_elt,Data Integration ETL ELT,Data & Integration,P0,DONE,0.68.1,,,,,block:data_integration_etl_elt;cap:data,,,,IFOS_36801_37200_data_integration_etl_elt_os_pack.zip,IFOS_data_integration_etl_elt_os_36801_37200_v1.md,IFOS_36801_37200_data_integration_etl_elt_os_pack.zip,,,,
12.0,37201,37600,knowledge_base_rag,Knowledge Base RAG,Knowledge & RAG,P1,DONE,0.72.1,content_import_normalization;data_contracts_schema_registry;data_integration_etl_elt;search_ranking_vitrines;security_trust,,content_import_normalization;data_contracts_schema_registry;data_integration_etl_elt;search_ranking_vitrines;security_trust,,block:knowledge_base_rag;cap:knowledge;cap:rag,cap:compliance;cap:data;cap:search;cap:security;cap:vitrines,,,IFOS_37201_37600_knowledge_base_rag_os_pack.zip,IFOS_knowledge_base_rag_os_37201_37600_v1.md,IFOS_37201_37600_knowledge_base_rag_os_pack.zip,,,,
13.0,37601,38000,agents_workflow_automation,Agents Workflow Automation,Runtime & Automation,P0,DONE,0.76.1,runtime_execution;connectors_factory_sdk;scheduling_orchestration;observability_reliability;enterprise_identity_access,,connectors_factory_sdk;enterprise_identity_access;observability_reliability;runtime_execution;scheduling_orchestration,,block:agents_workflow_automation;cap:automation;cap:runtime;cap:workflow,cap:compliance;cap:connectors;cap:enterprise;cap:governance;cap:identity;cap:observability;cap:orchestration;cap:reliability;cap:runtime;cap:sdk;cap:security,,,IFOS_37601_38000_agents_workflow_automation_os_pack.zip,IFOS_agents_workflow_automation_os_37601_38000_v1.md,IFOS_37601_38000_agents_workflow_automation_os_pack.zip,,,,
14.0,38001,38400,dev_platform_sdk,Dev Platform SDK,Dev Platform & Connectors,P1,DONE,0.80.1,,,,,block:dev_platform_sdk;cap:connectors;cap:sdk,,,,IFOS_38001_38400_dev_platform_sdk_os_pack.zip,IFOS_dev_platform_sdk_os_38001_38400_v1.md,IFOS_38001_38400_dev_platform_sdk_os_pack.zip,,,,
15.0,38401,38800,ui_builder_interaction,UI Builder Interaction,UI & Office Suite,P1,DONE,0.84.1,enterprise_identity_access;security_trust;workflow_runner_macro_engine;searchable_knowledge_vault,,enterprise_identity_access;searchable_knowledge_vault;security_trust;workflow_runner_macro_engine,,block:ui_builder_interaction;cap:ui,cap:automation;cap:compliance;cap:enterprise;cap:governance;cap:identity;cap:knowledge;cap:runtime;cap:search;cap:security;cap:workflow,,,IFOS_38401_38800_ui_builder_interaction_os_pack.zip,IFOS_ui_builder_interaction_os_38401_38800_v1.md,IFOS_38401_38800_ui_builder_interaction_os_pack.zip,,,,
16.0,39201,39600,federation_multitenant,Federation Multitenant,Enterprise & Governance,P0,DONE,0.92.1,enterprise_identity_access;security_trust;observability_reliability,,enterprise_identity_access;observability_reliability;security_trust,,block:federation_multitenant;cap:enterprise;cap:governance;cap:identity,cap:compliance;cap:enterprise;cap:governance;cap:identity;cap:observability;cap:reliability;cap:security,,,IFOS_39201_39600_federation_multitenant_os_pack.zip,IFOS_federation_multitenant_os_39201_39600_v1.md,IFOS_39201_39600_federation_multitenant_os_pack.zip,,,,
17.0,39601,40000,pricing_quotas_resource_economy,Pricing Quotas Resource Economy,Marketplace & Monetization,P1,DONE,0.96.1,enterprise_identity_access;security_trust;payments_settlement;data_privacy_compliance,,data_privacy_compliance;enterprise_identity_access;payments_settlement;security_trust,,block:pricing_quotas_resource_economy;cap:marketplace;cap:monetization,cap:compliance;cap:data;cap:enterprise;cap:governance;cap:identity;cap:marketplace;cap:monetization;cap:security,,,IFOS_39601_40000_pricing_quotas_resource_economy_os_pack.zip,IFOS_pricing_quotas_resource_economy_os_39601_40000_v1.md,IFOS_39601_40000_pricing_quotas_resource_economy_os_pack.zip,,,,
18.0,40001,40400,scheduling_orchestration,Scheduling Orchestration,Runtime & Automation,P0,DONE,0.0.1,,,,,block:scheduling_orchestration;cap:orchestration;cap:runtime,,,,IFOS_40001_40400_scheduling_orchestration_os_pack.zip,IFOS_scheduling_orchestration_os_40001_40400_v1.md,IFOS_40001_40400_scheduling_orchestration_os_pack.zip,,,,
